title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,net_income
Barely Legal,2011-01-01,89.0,1000000,0,1.761457,3.7,23.0,-2000000
Nutcracker: The Motion Picture,1986-11-26,89.0,0,0,0.330319,6.0,4.0,0
The Forgotten Faces,1961-01-01,18.0,0,0,0.03703,5.0,1.0,0
Russell Brand: Messiah Complex,2013-11-25,99.0,0,0,1.197497,7.2,18.0,0
Moving Violations,1985-04-19,90.0,0,0,1.280358,5.7,16.0,0
So Much Water,2013-05-10,102.0,0,0,0.300224,7.8,4.0,0
The Dark Horse,1932-06-16,75.0,0,0,0.077934,8.0,1.0,0
The Eagle and the Hawk,1933-05-06,68.0,0,0,0.2197,4.2,6.0,0
The Fake,2013-11-21,101.0,0,0,1.604893,6.7,10.0,0
The Fearmakers,1958-10-01,85.0,0,0,0.659496,6.0,2.0,0
The Happy Road,1957-06-20,100.0,500000,0,0.544916,0.0,0.0,-1000000
The Real Glory,1939-09-29,96.0,0,0,1.087102,4.8,3.0,0
This Is the Night,1932-04-08,80.0,0,0,0.109829,3.7,3.0,0
Yellow Rock,2011-11-01,89.0,0,0,1.231331,4.6,5.0,0
Lucia,2013-10-19,136.0,79000,170000,0.449582,6.8,10.0,12000
Dancing Outlaw II: Jesco Goes to Hollywood,1999-01-01,30.0,0,0,0.286328,4.3,2.0,0
Oppressed Majority,2010-10-24,11.0,340000,0,0.601191,5.5,4.0,-680000
"T,O,U,C,H,I,N,G",1969-01-01,12.0,0,0,0.182885,7.2,5.0,0
Little Hamlet,1960-01-01,8.0,0,0,0.036472,5.0,1.0,0
La Belle verte,1996-09-18,99.0,0,0,2.010173,7.5,32.0,0
Penguins of Madagascar,2014-11-22,92.0,132000000,373552094,22.201607,6.5,1375.0,109552094
Bill Bailey: Qualmpeddler,2013-11-19,0.0,0,0,1.331378,7.3,5.0,0
Ivul,2010-01-20,100.0,0,0,0.405958,4.3,3.0,0
Hotline,2014-04-28,0.0,0,0,0.049412,8.0,1.0,0
Fugly!,2014-11-05,86.0,0,0,4.149553,4.9,5.0,0
Black or White,2014-09-06,121.0,9000000,21571189,10.763583,6.5,119.0,3571189
Ragamuffin,2014-01-09,137.0,0,0,0.495744,7.2,5.0,0
Oko Wykol,1960-01-01,2.0,0,0,0.41351,4.5,4.0,0
